epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7086,2.649,5.61078,1.52057,0.39522,0.19173,0.19728,0.07109,2.55771,2.85198,1.48782,0.000656566,0.000656566,0.000656566
2,26.1119,2.7294,2.53814,1.59385,0.28605,0.19173,0.14345,0.04198,2.85747,3.78608,1.69835,0.0013145,0.0013145,0.0013145
3,38.9821,2.79667,2.58948,1.60744,0.01403,0.31955,0.00815,0.00218,3.02927,137.392,2.13491,0.00196363,0.00196363,0.00196363
4,51.8028,2.79167,2.53216,1.67278,0.09668,0.30451,0.0447,0.01346,2.80594,6.43807,1.79682,0.0019604,0.0019604,0.0019604
5,64.7381,2.66112,2.33175,1.58832,0.35814,0.17293,0.12054,0.04256,2.73639,18.3509,1.73801,0.0019472,0.0019472,0.0019472
6,77.5541,2.6549,2.29023,1.58798,0.63159,0.3609,0.37681,0.12514,2.55024,2.45181,1.49257,0.001934,0.001934,0.001934
7,90.8766,2.56218,2.08948,1.47573,0.60231,0.41729,0.42632,0.14558,2.51468,2.17723,1.49487,0.0019208,0.0019208,0.0019208
8,104.203,2.53137,2.04345,1.52658,0.54455,0.39555,0.41531,0.14746,2.46944,2.4683,1.5031,0.0019076,0.0019076,0.0019076
9,117.606,2.51238,2.00157,1.55842,0.47262,0.40226,0.3602,0.13468,2.48229,2.35109,1.48825,0.0018944,0.0018944,0.0018944
10,130.444,2.45667,1.94424,1.52214,0.62723,0.5,0.52476,0.20323,2.3719,1.82207,1.41988,0.0018812,0.0018812,0.0018812
11,143.778,2.32009,1.7784,1.45732,0.51671,0.45017,0.42074,0.14935,2.4245,2.21778,1.46918,0.001868,0.001868,0.001868
12,156.623,2.3652,1.74074,1.43338,0.67124,0.4452,0.50578,0.20157,2.30824,1.88925,1.4674,0.0018548,0.0018548,0.0018548
13,169.491,2.34591,1.79604,1.47277,0.72591,0.42813,0.47761,0.17895,2.3264,1.82533,1.46406,0.0018416,0.0018416,0.0018416
14,182.331,2.32216,1.72063,1.43686,0.70468,0.54511,0.58974,0.23546,2.23174,1.64335,1.41346,0.0018284,0.0018284,0.0018284
15,195.665,2.26377,1.63907,1.41724,0.82029,0.46617,0.58413,0.20715,2.29418,1.67422,1.40095,0.0018152,0.0018152,0.0018152
16,208.698,2.2206,1.57181,1.37486,0.56287,0.33083,0.32842,0.12611,2.46366,2.73118,1.44209,0.001802,0.001802,0.001802
17,221.558,2.22299,1.59068,1.41236,0.77218,0.52243,0.58775,0.21744,2.30411,2.10177,1.41394,0.0017888,0.0017888,0.0017888
18,234.428,2.20251,1.61567,1.43338,0.71391,0.57519,0.65584,0.26408,2.22464,1.68674,1.35415,0.0017756,0.0017756,0.0017756
19,247.775,2.16268,1.52273,1.40038,0.84401,0.52256,0.62813,0.24984,2.23922,1.74534,1.38305,0.0017624,0.0017624,0.0017624
20,260.691,2.15828,1.55742,1.41103,0.77402,0.56658,0.63312,0.26399,2.16225,1.61593,1.36548,0.0017492,0.0017492,0.0017492
21,273.545,2.13418,1.49616,1.36408,0.83656,0.61575,0.67816,0.24813,2.19806,1.61058,1.34154,0.001736,0.001736,0.001736
22,286.388,2.1564,1.44785,1.36829,0.76248,0.56767,0.63748,0.25949,2.16591,1.53753,1.34368,0.0017228,0.0017228,0.0017228
23,299.26,2.12329,1.42165,1.34677,0.79417,0.56391,0.62749,0.23496,2.27128,1.76163,1.37386,0.0017096,0.0017096,0.0017096
24,312.118,2.07227,1.36038,1.28013,0.81803,0.57461,0.63708,0.24974,2.18294,1.8151,1.34767,0.0016964,0.0016964,0.0016964
25,324.992,2.08012,1.37174,1.34084,0.84168,0.6203,0.69298,0.27628,2.14949,1.48606,1.3136,0.0016832,0.0016832,0.0016832
26,338.328,2.04668,1.34251,1.30722,0.84441,0.56015,0.66847,0.26677,2.23132,1.57639,1.38753,0.00167,0.00167,0.00167
27,351.184,2.07822,1.36819,1.34709,0.8295,0.66165,0.6929,0.27917,2.17869,1.44405,1.34687,0.0016568,0.0016568,0.0016568
28,364.519,2.05506,1.3641,1.34604,0.8304,0.5522,0.59623,0.23471,2.21698,1.66662,1.37811,0.0016436,0.0016436,0.0016436
29,377.434,2.0284,1.33341,1.3113,0.84551,0.63781,0.71538,0.30244,2.16749,1.50419,1.36499,0.0016304,0.0016304,0.0016304
30,390.764,1.98737,1.28434,1.32875,0.86227,0.63546,0.72092,0.29211,2.13868,1.57792,1.34722,0.0016172,0.0016172,0.0016172
31,403.84,2.0262,1.32937,1.31158,0.83541,0.59398,0.68305,0.29741,2.07591,1.48609,1.28359,0.001604,0.001604,0.001604
32,416.721,2.00512,1.26692,1.32116,0.84744,0.68915,0.73651,0.29444,2.16544,1.44093,1.32257,0.0015908,0.0015908,0.0015908
33,429.57,2.01002,1.29547,1.29345,0.87026,0.63534,0.68416,0.29155,2.15278,1.4567,1.33813,0.0015776,0.0015776,0.0015776
34,442.413,1.96436,1.24176,1.28301,0.82079,0.6715,0.75029,0.29743,2.17649,1.40095,1.33925,0.0015644,0.0015644,0.0015644
35,455.276,1.91853,1.21092,1.26265,0.85064,0.65038,0.74166,0.31616,2.06137,1.46571,1.30122,0.0015512,0.0015512,0.0015512
36,468.671,1.93812,1.2247,1.29939,0.82149,0.65038,0.72778,0.2971,2.12838,1.45545,1.37582,0.001538,0.001538,0.001538
37,481.522,1.91086,1.17623,1.27717,0.83168,0.66917,0.73079,0.31119,2.0696,1.41488,1.30438,0.0015248,0.0015248,0.0015248
38,494.371,1.8596,1.12995,1.22631,0.83294,0.65414,0.75054,0.31966,2.08959,1.38617,1.30745,0.0015116,0.0015116,0.0015116
39,507.777,1.89848,1.17629,1.26877,0.68522,0.62782,0.67103,0.27457,2.1416,1.57395,1.33002,0.0014984,0.0014984,0.0014984
40,520.617,1.86692,1.1463,1.22365,0.87397,0.68045,0.77197,0.31413,2.08839,1.40057,1.29324,0.0014852,0.0014852,0.0014852
41,533.466,1.89489,1.16217,1.26252,0.89411,0.68045,0.77111,0.31933,2.06119,1.33377,1.29638,0.001472,0.001472,0.001472
42,546.323,1.86091,1.12793,1.235,0.83469,0.72134,0.76551,0.3293,2.01555,1.3482,1.27295,0.0014588,0.0014588,0.0014588
43,559.668,1.84818,1.11158,1.23712,0.83483,0.70307,0.76109,0.30704,2.11938,1.47671,1.32323,0.0014456,0.0014456,0.0014456
44,572.517,1.86464,1.13785,1.23834,0.88926,0.69432,0.78552,0.33362,2.03414,1.41956,1.28474,0.0014324,0.0014324,0.0014324
45,585.856,1.83308,1.11582,1.2487,0.82947,0.69925,0.75337,0.3106,2.14804,1.41311,1.35731,0.0014192,0.0014192,0.0014192
46,598.71,1.8687,1.1084,1.22538,0.83237,0.70936,0.7649,0.33273,2.02112,1.35379,1.29389,0.001406,0.001406,0.001406
47,611.581,1.84237,1.11512,1.23101,0.9086,0.66917,0.77074,0.30374,2.11224,1.37693,1.30631,0.0013928,0.0013928,0.0013928
48,624.477,1.84179,1.07848,1.21141,0.80982,0.70436,0.7509,0.33113,2.0589,1.35413,1.28219,0.0013796,0.0013796,0.0013796
49,637.319,1.79017,1.04878,1.21537,0.84628,0.67669,0.73348,0.32309,2.04439,1.38065,1.28243,0.0013664,0.0013664,0.0013664
50,650.165,1.79629,1.10784,1.23699,0.87399,0.67796,0.75315,0.31111,2.10316,1.38338,1.30886,0.0013532,0.0013532,0.0013532
51,663.02,1.83438,1.08892,1.22443,0.89528,0.70708,0.79915,0.34363,2.05682,1.35885,1.33091,0.00134,0.00134,0.00134
52,676.347,1.79165,1.05006,1.21046,0.87793,0.67293,0.75703,0.32117,2.08599,1.25195,1.31699,0.0013268,0.0013268,0.0013268
53,689.197,1.80595,1.0435,1.22868,0.90155,0.66917,0.77518,0.32494,2.04349,1.32647,1.32217,0.0013136,0.0013136,0.0013136
54,702.04,1.768,1.01772,1.21935,0.89032,0.68045,0.76811,0.31824,2.10286,1.38202,1.33059,0.0013004,0.0013004,0.0013004
55,714.89,1.71704,0.97614,1.16859,0.90928,0.67828,0.76941,0.3293,2.10378,1.28878,1.34219,0.0012872,0.0012872,0.0012872
56,727.729,1.72916,0.99626,1.1695,0.9173,0.70301,0.80934,0.33868,2.0319,1.27508,1.28921,0.001274,0.001274,0.001274
57,740.876,1.7016,0.98768,1.22768,0.88687,0.70733,0.80456,0.33831,2.05991,1.20324,1.29399,0.0012608,0.0012608,0.0012608
58,753.725,1.75083,1.03448,1.19942,0.85787,0.72613,0.78949,0.32636,2.0757,1.33034,1.34357,0.0012476,0.0012476,0.0012476
59,766.575,1.70949,1.01436,1.19209,0.89697,0.70677,0.78297,0.3298,2.05329,1.38444,1.31817,0.0012344,0.0012344,0.0012344
60,779.407,1.68847,0.95894,1.16692,0.90791,0.71805,0.812,0.33491,2.05854,1.22783,1.30621,0.0012212,0.0012212,0.0012212
61,792.259,1.70809,0.95643,1.18946,0.8878,0.72556,0.79688,0.36493,1.97057,1.33678,1.31463,0.001208,0.001208,0.001208
62,805.599,1.70203,0.95297,1.15555,0.89735,0.71805,0.80547,0.3428,2.01096,1.28332,1.31965,0.0011948,0.0011948,0.0011948
63,818.453,1.69188,0.97944,1.19594,0.84999,0.71053,0.77859,0.32117,2.03284,1.33563,1.29027,0.0011816,0.0011816,0.0011816
64,831.289,1.66476,0.95074,1.17544,0.90889,0.69925,0.80602,0.33922,2.02166,1.24969,1.29857,0.0011684,0.0011684,0.0011684
65,844.146,1.68518,0.94399,1.16297,0.89253,0.71813,0.80261,0.36016,1.97135,1.21759,1.28172,0.0011552,0.0011552,0.0011552
66,857.06,1.66038,0.9101,1.15944,0.8856,0.72932,0.80929,0.35601,2.0147,1.2324,1.29824,0.001142,0.001142,0.001142
67,869.9,1.63809,0.89938,1.1484,0.86309,0.7406,0.79588,0.3341,2.01343,1.28748,1.2898,0.0011288,0.0011288,0.0011288
68,882.737,1.69676,0.96811,1.20972,0.85138,0.73221,0.80049,0.33152,2.06804,1.26163,1.29246,0.0011156,0.0011156,0.0011156
69,895.592,1.62635,0.91884,1.12812,0.86755,0.73875,0.80167,0.34894,2.0036,1.20769,1.29093,0.0011024,0.0011024,0.0011024
70,908.432,1.62537,0.89553,1.17057,0.8793,0.7406,0.82723,0.34724,2.02907,1.17748,1.30618,0.0010892,0.0010892,0.0010892
71,921.275,1.61618,0.88761,1.15317,0.87711,0.71805,0.78602,0.33621,2.06141,1.24731,1.32982,0.001076,0.001076,0.001076
72,934.107,1.6257,0.89331,1.11643,0.88622,0.73308,0.78613,0.3482,2.0255,1.15871,1.30522,0.0010628,0.0010628,0.0010628
73,947.074,1.66365,0.92196,1.14242,0.83355,0.77444,0.81742,0.35345,1.99594,1.17172,1.30686,0.0010496,0.0010496,0.0010496
74,959.916,1.6106,0.87951,1.13472,0.87275,0.74776,0.81434,0.36157,2.00602,1.1907,1.3288,0.0010364,0.0010364,0.0010364
75,972.832,1.59434,0.87624,1.13747,0.90029,0.72556,0.80394,0.33645,1.97695,1.16889,1.30399,0.0010232,0.0010232,0.0010232
76,985.673,1.64887,0.90443,1.15009,0.89028,0.71805,0.81003,0.34285,2.02571,1.23756,1.30028,0.00101,0.00101,0.00101
77,998.521,1.58992,0.86516,1.11507,0.88918,0.75412,0.81975,0.35291,1.99436,1.2338,1.28371,0.0009968,0.0009968,0.0009968
78,1011.35,1.56868,0.87581,1.14638,0.87157,0.76537,0.82829,0.36155,1.96658,1.14977,1.28392,0.0009836,0.0009836,0.0009836
79,1024.2,1.54708,0.8422,1.11528,0.85674,0.74191,0.80767,0.34419,1.9953,1.17557,1.28447,0.0009704,0.0009704,0.0009704
80,1037.07,1.57636,0.85468,1.13644,0.88366,0.74436,0.81111,0.35647,1.98278,1.17729,1.28903,0.0009572,0.0009572,0.0009572
81,1049.94,1.54002,0.86795,1.14868,0.85026,0.72932,0.81145,0.34562,1.9919,1.31076,1.29153,0.000944,0.000944,0.000944
82,1062.79,1.53629,0.85028,1.12417,0.8873,0.73994,0.82504,0.35801,2.00788,1.20945,1.31275,0.0009308,0.0009308,0.0009308
83,1075.65,1.53157,0.83796,1.12429,0.85225,0.759,0.82188,0.35592,2.01229,1.19644,1.32219,0.0009176,0.0009176,0.0009176
84,1088.55,1.59939,0.84372,1.12925,0.9096,0.71429,0.82103,0.34383,2.04457,1.21759,1.36046,0.0009044,0.0009044,0.0009044
85,1101.39,1.524,0.82593,1.09148,0.81972,0.76921,0.79804,0.37119,1.94781,1.12598,1.27881,0.0008912,0.0008912,0.0008912
86,1114.71,1.53861,0.8158,1.11114,0.91967,0.73171,0.82425,0.3687,1.95806,1.08341,1.30683,0.000878,0.000878,0.000878
87,1127.57,1.50403,0.80271,1.10809,0.85217,0.74812,0.81741,0.35995,1.98202,1.18911,1.32466,0.0008648,0.0008648,0.0008648
88,1140.41,1.50129,0.78806,1.09669,0.87,0.76316,0.82265,0.36133,1.93057,1.13235,1.27229,0.0008516,0.0008516,0.0008516
89,1153.25,1.53231,0.81496,1.10612,0.89608,0.74558,0.81636,0.36139,1.95469,1.199,1.30012,0.0008384,0.0008384,0.0008384
90,1166.08,1.51423,0.8154,1.09457,0.89763,0.72525,0.81751,0.35895,2.07359,1.32399,1.37082,0.0008252,0.0008252,0.0008252
91,1178.93,1.4867,0.77382,1.08756,0.93079,0.71053,0.8087,0.36261,2.02387,1.20535,1.35606,0.000812,0.000812,0.000812
92,1191.78,1.47962,0.79764,1.07908,0.8505,0.74852,0.79104,0.35476,2.0538,1.1283,1.32224,0.0007988,0.0007988,0.0007988
93,1204.69,1.50636,0.80412,1.10462,0.91794,0.73684,0.82664,0.36926,2.02001,1.21176,1.30895,0.0007856,0.0007856,0.0007856
94,1217.53,1.49757,0.78001,1.0952,0.89983,0.75564,0.82959,0.37222,2.04298,1.20511,1.33538,0.0007724,0.0007724,0.0007724
95,1230.86,1.4596,0.76566,1.07766,0.89391,0.73308,0.84324,0.3624,2.04065,1.20023,1.32077,0.0007592,0.0007592,0.0007592
96,1243.71,1.44179,0.78478,1.09728,0.88261,0.76314,0.81695,0.34877,2.02199,1.33478,1.35217,0.000746,0.000746,0.000746
97,1256.55,1.4433,0.78444,1.09846,0.91582,0.73617,0.82055,0.35504,2.02637,1.27679,1.32617,0.0007328,0.0007328,0.0007328
98,1269.39,1.42303,0.75571,1.07163,0.89745,0.7406,0.83747,0.36089,2.02691,1.21638,1.33231,0.0007196,0.0007196,0.0007196
99,1282.23,1.41018,0.7425,1.08868,0.86696,0.78195,0.83466,0.36448,2.01369,1.20719,1.31789,0.0007064,0.0007064,0.0007064
100,1295.06,1.43626,0.76621,1.06232,0.89473,0.73495,0.82177,0.35709,2.03443,1.25312,1.35521,0.0006932,0.0006932,0.0006932
101,1307.89,1.4142,0.73424,1.0595,0.89632,0.74751,0.82012,0.37091,1.94651,1.14701,1.29415,0.00068,0.00068,0.00068
102,1320.73,1.43036,0.73971,1.0678,0.87805,0.75787,0.83766,0.37409,1.97884,1.16627,1.32406,0.0006668,0.0006668,0.0006668
