epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6234,2.649,5.61078,1.52057,0.39522,0.19173,0.19728,0.07109,2.55771,2.85198,1.48782,0.000656566,0.000656566,0.000656566
2,25.9526,2.71997,2.5111,1.54776,0.29647,0.2594,0.1801,0.05542,2.64956,3.73991,1.69388,0.00131668,0.00131668,0.00131668
3,38.7053,2.74946,2.46549,1.62612,0.55093,0.31203,0.29845,0.09757,2.81295,3.69494,1.79935,0.0019702,0.0019702,0.0019702
4,51.9977,2.70346,2.40909,1.57464,0.24283,0.16917,0.10866,0.03036,3.24146,7.98606,1.84579,0.0019703,0.0019703,0.0019703
5,64.7696,2.55847,2.19543,1.49963,0.67886,0.42481,0.45984,0.15264,2.51001,2.54883,1.49254,0.0019604,0.0019604,0.0019604
6,78.0274,2.52888,2.07358,1.47816,0.64984,0.41353,0.43316,0.14036,2.49927,2.21696,1.51166,0.0019505,0.0019505,0.0019505
7,90.8064,2.47787,1.94324,1.4534,0.61383,0.42481,0.4923,0.18735,2.41545,2.10572,1.48508,0.0019406,0.0019406,0.0019406
8,104.095,2.47993,1.95172,1.44954,0.5676,0.48362,0.45156,0.14658,2.46075,2.04968,1.45518,0.0019307,0.0019307,0.0019307
9,116.955,2.42823,1.90178,1.45907,0.79954,0.45865,0.53751,0.19247,2.34486,1.89771,1.41633,0.0019208,0.0019208,0.0019208
10,130.251,2.40068,1.88643,1.45627,0.67808,0.46617,0.50285,0.18225,2.35216,1.99994,1.42128,0.0019109,0.0019109,0.0019109
11,143.083,2.27512,1.6992,1.40585,0.65721,0.46851,0.53099,0.19316,2.31305,1.89066,1.38679,0.001901,0.001901,0.001901
12,156.368,2.32683,1.7267,1.39456,0.68961,0.53455,0.58689,0.20512,2.33878,1.81195,1.46357,0.0018911,0.0018911,0.0018911
13,169.683,2.31259,1.74324,1.42683,0.74474,0.48496,0.57644,0.22262,2.28934,1.7775,1.40301,0.0018812,0.0018812,0.0018812
14,182.989,2.26678,1.70741,1.37678,0.75982,0.5471,0.5862,0.22964,2.31664,1.69734,1.36959,0.0018713,0.0018713,0.0018713
15,196.313,2.27876,1.66534,1.37957,0.73702,0.52256,0.58548,0.21381,2.35884,2.01169,1.44265,0.0018614,0.0018614,0.0018614
16,209.134,2.24179,1.6011,1.33759,0.81727,0.52256,0.62682,0.25271,2.265,1.71584,1.38029,0.0018515,0.0018515,0.0018515
17,222.443,2.2136,1.59037,1.36993,0.77886,0.55639,0.63681,0.24013,2.22503,1.65215,1.36543,0.0018416,0.0018416,0.0018416
18,235.279,2.18137,1.57737,1.36324,0.71443,0.51729,0.5825,0.21817,2.24769,1.92271,1.39429,0.0018317,0.0018317,0.0018317
19,248.192,2.17604,1.47183,1.34847,0.8315,0.60526,0.68556,0.26563,2.28238,1.6348,1.43786,0.0018218,0.0018218,0.0018218
20,261.51,2.15136,1.49234,1.33956,0.82448,0.56511,0.6627,0.27098,2.21808,1.562,1.34799,0.0018119,0.0018119,0.0018119
21,274.831,2.13635,1.44437,1.29011,0.80105,0.56008,0.62812,0.24152,2.37519,1.7167,1.45162,0.001802,0.001802,0.001802
22,287.662,2.11005,1.39966,1.3057,0.81475,0.57868,0.66687,0.26987,2.24296,1.52618,1.40586,0.0017921,0.0017921,0.0017921
23,300.493,2.08146,1.37918,1.29675,0.78013,0.61278,0.65796,0.26378,2.18353,1.49783,1.33803,0.0017822,0.0017822,0.0017822
24,313.329,2.056,1.30334,1.24567,0.84054,0.64662,0.7332,0.29292,2.11402,1.41636,1.32065,0.0017723,0.0017723,0.0017723
25,326.652,2.04502,1.33564,1.27294,0.75878,0.63534,0.69088,0.27125,2.18247,1.51664,1.34011,0.0017624,0.0017624,0.0017624
26,339.486,2.03131,1.31159,1.27187,0.80068,0.64939,0.72344,0.28136,2.0861,1.35463,1.30878,0.0017525,0.0017525,0.0017525
27,352.32,2.04351,1.29401,1.29549,0.8291,0.67669,0.72718,0.29393,2.16184,1.43252,1.34953,0.0017426,0.0017426,0.0017426
28,365.659,1.98589,1.29618,1.29258,0.82891,0.65572,0.72156,0.30946,2.14516,1.33608,1.33711,0.0017327,0.0017327,0.0017327
29,379.041,2.00705,1.30777,1.27778,0.5896,0.32331,0.37919,0.1536,2.35262,2.89431,1.42847,0.0017228,0.0017228,0.0017228
30,391.873,1.97322,1.29863,1.30025,0.84433,0.62782,0.73297,0.2915,2.15163,1.36824,1.35611,0.0017129,0.0017129,0.0017129
31,404.7,1.97603,1.26368,1.23649,0.74328,0.66165,0.67645,0.28501,2.17471,1.50116,1.34415,0.001703,0.001703,0.001703
32,417.521,1.99509,1.27636,1.27293,0.76664,0.66694,0.70989,0.28779,2.11702,1.38434,1.32233,0.0016931,0.0016931,0.0016931
33,430.376,1.97394,1.25857,1.25376,0.87458,0.65414,0.7391,0.31287,2.13148,1.41133,1.33649,0.0016832,0.0016832,0.0016832
34,443.692,1.95085,1.21703,1.25384,0.83044,0.64662,0.71807,0.28675,2.16657,1.56315,1.32754,0.0016733,0.0016733,0.0016733
35,456.533,1.91112,1.18325,1.22994,0.79051,0.66165,0.72546,0.29108,2.15701,1.31125,1.33211,0.0016634,0.0016634,0.0016634
36,469.39,1.93657,1.20555,1.2394,0.85713,0.66541,0.70925,0.29223,2.16755,1.40519,1.32873,0.0016535,0.0016535,0.0016535
37,482.236,1.87593,1.16085,1.21652,0.87137,0.64286,0.74984,0.32115,2.14733,1.33955,1.3082,0.0016436,0.0016436,0.0016436
38,495.562,1.87619,1.1354,1.1823,0.85961,0.69925,0.77932,0.33374,2.05634,1.28772,1.29408,0.0016337,0.0016337,0.0016337
39,508.96,1.89954,1.17703,1.20796,0.88313,0.63534,0.75959,0.32241,2.18347,1.4215,1.3791,0.0016238,0.0016238,0.0016238
40,521.799,1.8749,1.12429,1.20059,0.84593,0.68114,0.7502,0.30775,2.15321,1.34009,1.33121,0.0016139,0.0016139,0.0016139
41,534.641,1.85079,1.14627,1.20504,0.86561,0.65381,0.74824,0.30548,2.16926,1.42676,1.3703,0.001604,0.001604,0.001604
42,547.471,1.88214,1.14912,1.20383,0.75612,0.66917,0.71337,0.292,2.14239,1.40538,1.34692,0.0015941,0.0015941,0.0015941
43,560.302,1.84608,1.11373,1.20685,0.81339,0.68821,0.7572,0.3315,2.09571,1.37254,1.33,0.0015842,0.0015842,0.0015842
44,573.132,1.85485,1.12665,1.19503,0.8433,0.65789,0.74649,0.28194,2.22301,1.39891,1.34144,0.0015743,0.0015743,0.0015743
45,585.969,1.79912,1.08065,1.18807,0.8102,0.71053,0.77899,0.33495,2.11712,1.33484,1.33318,0.0015644,0.0015644,0.0015644
46,599.297,1.85343,1.09689,1.17153,0.85621,0.69394,0.75313,0.30839,2.15003,1.33346,1.35602,0.0015545,0.0015545,0.0015545
47,612.193,1.79998,1.07967,1.17772,0.86209,0.67293,0.75558,0.32055,2.16757,1.32356,1.33952,0.0015446,0.0015446,0.0015446
48,625.008,1.8329,1.10993,1.16852,0.83055,0.70677,0.77362,0.32417,2.10225,1.3197,1.30194,0.0015347,0.0015347,0.0015347
49,637.839,1.83119,1.05742,1.18087,0.82157,0.70301,0.76689,0.33,2.11077,1.25236,1.3275,0.0015248,0.0015248,0.0015248
50,650.66,1.75597,1.05807,1.19449,0.82202,0.71189,0.75887,0.30661,2.05507,1.34526,1.30709,0.0015149,0.0015149,0.0015149
51,663.502,1.81241,1.06733,1.17197,0.89336,0.6929,0.78258,0.33359,2.09449,1.25957,1.37282,0.001505,0.001505,0.001505
52,676.331,1.79749,1.05082,1.18149,0.80509,0.74537,0.78728,0.32326,2.12839,1.24582,1.36515,0.0014951,0.0014951,0.0014951
53,689.191,1.78561,1.05945,1.18807,0.88722,0.68021,0.78439,0.32077,2.13858,1.28861,1.35687,0.0014852,0.0014852,0.0014852
54,702.028,1.78252,1.02168,1.17168,0.87439,0.67669,0.77067,0.33202,2.14493,1.3568,1.34205,0.0014753,0.0014753,0.0014753
55,714.856,1.76912,0.98806,1.14362,0.86595,0.70677,0.77298,0.31921,2.09735,1.33318,1.31829,0.0014654,0.0014654,0.0014654
56,727.753,1.74773,0.98709,1.1505,0.86715,0.74812,0.81545,0.35191,2.04098,1.21218,1.28471,0.0014555,0.0014555,0.0014555
57,741.077,1.71518,0.99343,1.16241,0.85956,0.73684,0.80148,0.32966,2.09781,1.17105,1.31332,0.0014456,0.0014456,0.0014456
