epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8035,1.4632,2.09466,1.72745,0.36168,0.27611,0.25194,0.11025,2.31498,2.88568,2.30396,0.000332667,0.000332667,0.067066
2,93.185,1.49022,1.96073,1.75004,0.36729,0.28389,0.25149,0.1436,2.23161,2.54256,2.52225,0.000659407,0.000659407,0.0340594
3,137.51,1.46228,1.87143,1.72758,0.34933,0.35444,0.31794,0.16598,2.08298,2.30785,2.12078,0.000979547,0.000979547,0.00104621
4,181.867,1.43377,1.79745,1.70733,0.49656,0.32278,0.30318,0.1635,2.06636,2.36314,2.2502,0.0009703,0.0009703,0.0009703
5,225.834,1.40468,1.74284,1.69291,0.41104,0.26246,0.27276,0.14992,2.23713,2.84062,2.39759,0.0009604,0.0009604,0.0009604
6,269.763,1.36039,1.69617,1.64811,0.4573,0.38111,0.35758,0.19618,1.99752,2.26893,2.08075,0.0009505,0.0009505,0.0009505
7,314.711,1.32915,1.63916,1.62934,0.42529,0.43556,0.40017,0.21542,1.93084,2.02912,2.0381,0.0009406,0.0009406,0.0009406
8,359.184,1.29639,1.57506,1.60637,0.52793,0.41699,0.43976,0.22913,1.92116,1.99263,2.06341,0.0009307,0.0009307,0.0009307
9,403.701,1.27759,1.52503,1.59058,0.53208,0.44254,0.44456,0.18474,2.01206,2.09644,2.0321,0.0009208,0.0009208,0.0009208
10,447.758,1.27455,1.49781,1.57133,0.6307,0.39389,0.45314,0.22557,1.97209,1.97741,2.03591,0.0009109,0.0009109,0.0009109
11,491.789,1.24611,1.47179,1.55548,0.55544,0.54144,0.54748,0.26975,1.84605,1.77018,1.95764,0.000901,0.000901,0.000901
12,536.776,1.21679,1.42731,1.52894,0.48022,0.50944,0.48231,0.24542,1.92214,1.85423,2.00385,0.0008911,0.0008911,0.0008911
13,580.791,1.22784,1.42708,1.5341,0.47559,0.46278,0.43594,0.22338,1.93876,1.85582,2.03478,0.0008812,0.0008812,0.0008812
14,624.762,1.22809,1.38596,1.52983,0.5463,0.58944,0.5333,0.26573,1.91026,1.70608,1.99758,0.0008713,0.0008713,0.0008713
15,668.96,1.20899,1.38942,1.51742,0.58945,0.4402,0.50993,0.24907,1.86651,1.8084,2.00525,0.0008614,0.0008614,0.0008614
16,712.952,1.20041,1.35914,1.50444,0.56132,0.50472,0.52904,0.26974,1.84764,1.7854,1.95287,0.0008515,0.0008515,0.0008515
17,757.459,1.17222,1.31995,1.48913,0.53688,0.51944,0.50874,0.26159,1.85343,1.69452,1.96674,0.0008416,0.0008416,0.0008416
18,801.43,1.1792,1.30903,1.49908,0.54521,0.52333,0.54505,0.27016,1.78436,1.80394,1.89725,0.0008317,0.0008317,0.0008317
